id_vivienda,estrato,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,felicidad_bin,satisfaccion_bin,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,ciudad_ofrece_oportunidades,control_decisiones,probabilidad_victima_delito,se_considera_pobre,ingreso_mensual_hogar_para_necesidades_SMMLV,felicidad_hogar,satisfaccion_hogar_forma_vida,rango_SMMLV_necesidades_mes,nivel_sisben,max_antigüedad_empleo_años,frec_problemas_vestir,frec_problemas_medicamentos,frec_problemas_vivienda,frec_problemas_asistencia_escolar,ha_sido_victima_robo,ingreso_mensual_hogar
2019_gal_33,1.0,galapa,33.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,no,0.0,0.0,1.0,si,a veces,peor,si,no,control sobre la mayoría de decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,satisfecho,entre 1 y 2 salarios mínimos,2.0,7.0,a menudo,raramente,raramente,raramente,no,850000.0
2019_gal_34,1.0,galapa,34.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,si,1.0,0.0,2.0,si,raramente,igual,si,no,control sobre todas las decisiones,muy probable,si,entre 1 y 2 salarios mínimos,muy feliz,satisfecho,entre 2 y 5 salarios mínimos,3.0,3.0,a veces,a veces,nunca,a veces,no,1500000.0
2019_gal_35,1.0,galapa,35.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,no,2.0,0.0,0.0,si,a veces,peor,si,no,control sobre la mayoría de decisiones,algo probable,si,menos de 1 salario mínimo,muy feliz,satisfecho,menos de 1 salario mínimo,1.0,0.0,a menudo,a veces,a veces,a veces,no,500000.0
2019_gal_36,2.0,galapa,36.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,no,1.0,2.0,0.0,no,siempre,igual,si,no,control sobre la mayoría de decisiones,poco probable,si,menos de 1 salario mínimo,muy feliz,satisfecho,entre 1 y 2 salarios mínimos,2.0,0.0,a menudo,a veces,raramente,nunca,no,800000.0
2019_gal_37,1.0,galapa,37.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,no,1.0,0.0,1.0,si,nunca,mejor,si,si,control sobre la mayoría de decisiones,poco probable,si,entre 1 y 2 salarios mínimos,muy feliz,satisfecho,entre 1 y 2 salarios mínimos,1.0,5.0,nunca,nunca,nunca,nunca,no,828116.0
2019_gal_38,2.0,galapa,38.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,si,1.0,0.0,0.0,no,siempre,igual,si,no,control sobre la mayoría de decisiones,poco probable,si,menos de 1 salario mínimo,muy feliz,satisfecho,entre 1 y 2 salarios mínimos,3.0,0.0,a menudo,siempre,siempre,a menudo,no,800000.0
2019_gal_39,1.0,galapa,39.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,no,0.0,0.0,0.0,no,a veces,igual,no,no,control sobre todas las decisiones,muy probable,si,menos de 1 salario mínimo,muy feliz,satisfecho,entre 2 y 5 salarios mínimos,2.0,0.0,a menudo,a veces,raramente,nunca,no,650000.0
2019_bar_40,2.0,barranquilla,40.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,no,0.0,0.0,2.0,no,nunca,igual,no,si,control sobre la mayoría de decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,3.0,nunca,nunca,nunca,nunca,no,1500000.0
2019_bar_41,3.0,barranquilla,41.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,no,0.0,0.0,1.0,si,raramente,peor,no,no,control sobre algunas decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,satisfecho,entre 2 y 5 salarios mínimos,2.0,2.0,nunca,nunca,nunca,nunca,no,828116.0
2019_bar_42,1.0,barranquilla,42.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,4.0,no,0.0,0.0,2.0,si,nunca,igual,no,si,control sobre algunas decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,2.0,nunca,nunca,nunca,nunca,no,828116.0
